actual,proposed
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5002145767211914
0.0,0.5266373157501221
0.0,0.5652741193771362
0.0,0.613444983959198
0.0,0.6579312086105347
0.0,0.7001447081565857
0.0,0.7069393992424011
0.0,0.7117013931274414
0.0,0.7261505722999573
0.0,0.7250911593437195
0.0,0.7244101166725159
0.0,0.7239855527877808
0.0,0.7128986120223999
0.0,0.7052732110023499
0.0,0.7108813524246216
0.0,0.7148053646087646
0.0,0.7175689935684204
0.0,0.7195292711257935
0.0,0.7434359192848206
0.0,0.7375224232673645
0.0,0.7120594382286072
0.0,0.7050638198852539
0.0,0.7002601623535156
0.0,0.6969794631004333
0.0,0.6947530508041382
0.0,0.682672917842865
0.0,0.6640418171882629
0.0,0.6411420106887817
0.0,0.6253319978713989
0.0,0.604645311832428
0.0,0.590365469455719
0.0,0.5710041522979736
0.0,0.5483964085578918
0.0,0.5327823758125305
0.0,0.5220056772232056
0.0,0.5238239169120789
0.0,0.5251128077507019
0.0,0.5260398387908936
0.0,0.5174676775932312
0.0,0.5208204984664917
0.0,0.5231718420982361
