actual,proposed
-0.24125847220420837,-0.2933554947376251
-0.2419806867837906,-0.2759898006916046
-0.2419806867837906,-0.26465344429016113
-0.2423417717218399,-0.2570958435535431
-0.2427028864622116,-0.24901951849460602
-0.2467184215784073,-0.24813030660152435
-0.24745146930217743,-0.24765966832637787
-0.2478179931640625,-0.24759027361869812
-0.24818451702594757,-0.24783895909786224
-0.2946406304836273,-0.26358476281166077
-0.29376915097236633,-0.2739367187023163
-0.29333341121673584,-0.28054752945899963
-0.29333341121673584,-0.28480949997901917
-0.33092692494392395,-0.28765079379081726
-0.33092692494392395,-0.30207616090774536
-0.33092692494392395,-0.31169307231903076
-0.3314177393913269,-0.3181043565273285
-0.3314177393913269,-0.3225421607494354
-0.33190858364105225,-0.3255006968975067
-0.37093740701675415,-0.3276366591453552
-0.3720311224460602,-0.34207022190093994
-0.373124897480011,-0.35205718874931335
-0.373124897480011,-0.3590797781944275
-0.3736717700958252,-0.3637614846229553
-0.38925623893737793,-0.3744620084762573
-0.39210036396980286,-0.3797726333141327
-0.34205591678619385,-0.3838818669319153
-0.34304556250572205,-0.3699398934841156
-0.37187525629997253,-0.36097511649131775
-0.37187525629997253,-0.364608496427536
-0.3724116384983063,-0.3670307397842407
-0.3724116384983063,-0.36882439255714417
-0.3729480504989624,-0.3700201213359833
-0.3729480504989624,-0.3716467618942261
-0.3579636216163635,-0.3669145703315735
-0.3579636216163635,-0.36393091082572937
-0.3589903712272644,-0.3619418144226074
-0.3600171208381653,-0.3606443703174591
-0.3715732991695404,-0.3639366328716278
-0.3726254999637604,-0.3664821982383728
-0.37420374155044556,-0.36852994561195374
-0.37578198313713074,-0.37042123079299927
-0.43392235040664673,-0.3722081482410431
-0.4363417327404022,-0.39277952909469604
-0.43876105546951294,-0.40730026364326477
-0.44118040800094604,-0.41778719425201416
-0.4429948329925537,-0.4313882291316986
-0.47349098324775696,-0.4447813332080841
-0.42240166664123535,-0.4543512165546417
-0.4246774911880493,-0.4437013864517212
-0.4263843595981598,-0.43736007809638977
-0.4705367386341095,-0.4337015151977539
-0.473034530878067,-0.44597992300987244
-0.4761567711830139,-0.4549981355667114
-0.4786545932292938,-0.46205100417137146
-0.48115232586860657,-0.4675855338573456
-0.4836500585079193,-0.47210779786109924
-0.5393638610839844,-0.47595521807670593
-0.5435143709182739,-0.4970914125442505
-0.5462813377380371,-0.5125657320022583
-0.5497400164604187,-0.5324495434761047
-0.5959321856498718,-0.5395964980125427
-0.5996295809745789,-0.5583750605583191
-0.6025874018669128,-0.572126567363739
-0.6062847375869751,-0.582280158996582
-0.6092424988746643,-0.5902817249298096
-0.6583497524261475,-0.5966019630432129
