actual,proposed
0.0,0.008113590069115162
0.0,0.012531688436865807
0.0,0.016950618475675583
0.0,0.019896460697054863
0.0,0.02137041836977005
0.0,0.02726856805384159
0.004526791628450155,0.030217761173844337
0.014730039983987808,0.033167555928230286
0.024763567373156548,0.03906870260834694
0.030275912955403328,0.04054626077413559
0.036721475422382355,0.04055162891745567
0.037659935653209686,0.042032212018966675
0.03857304900884628,0.042037833482027054
0.04817967116832733,0.04204479604959488
0.05328323692083359,0.044999539852142334
0.06266822665929794,0.046478185802698135
0.05884190648794174,0.04943236708641052
0.050709523260593414,0.04796406254172325
0.03832881897687912,0.0450257882475853
0.030473140999674797,0.04061450436711311
0.027074240148067474,0.03767755627632141
0.019349420443177223,0.03621260076761246
0.01607506535947323,0.03327213227748871
0.012827565893530846,0.031806301325559616
0.013964492827653885,0.030344996601343155
0.0031744157895445824,0.027401981875300407
2.2924399672774598e-05,0.025935061275959015
0.0,0.024466481059789658
0.0,0.022997675463557243
0.0,0.020054617896676064
0.0,0.018586372956633568
0.0,0.01564248837530613
0.24316257238388062,0.19151975214481354
0.240006223320961,0.189913809299469
0.238438680768013,0.18847618997097015
0.2412363886833191,0.18703819811344147
0.23962022364139557,0.18707379698753357
0.23801171779632568,0.18419583141803741
0.23481501638889313,0.18275703489780426
0.2332252711057663,0.1813180148601532
0.23164063692092896,0.17987872660160065
0.22570110857486725,0.1784392148256302
0.21546685695648193,0.17552535235881805
0.2053537666797638,0.17113855481147766
0.19535592198371887,0.16675229370594025
0.18110856413841248,0.1623651683330536
0.16702581942081451,0.15650337934494019
0.15309925377368927,0.15064199268817902
0.13932135701179504,0.14477920532226562
0.12132584303617477,0.1389155089855194
0.10352461785078049,0.13157671689987183
0.08154941350221634,0.12423813343048096
0.06416923552751541,0.10808360576629639
0.012577012181282043,0.09779249876737595
0.0,0.0875023603439331
0.0,0.07573641091585159
0.0,0.06544360518455505
0.0,0.041902441531419754
0.0,0.02865523286163807
0.0,0.015407165512442589
0.0,0.003630251158028841
